ID,Team
[BER],ALBA Berlin
[EFS],Anadolu Efes Istanbul
"[MIL,AXM,EA7]",Armani Milano
[ASM],AS Monaco
"[BKN,KBA,LBO,TDS]",Baskonia Vitoria-Gasteiz
[TRE],Benetton Basket
[BRO],Brose Bamberg
"[CZV,CZT]",Crvena Zvezda Belgrade
CSK,CSKA Moscow
"[FCB,BAR]",FC Barcelona
[BAY],FC Bayern Munich
"[FNB,FBB,FBD,FBU]",Fenerbahce Istanbul
[GSL],Galatasaray Istanbul
[WKS],Idea Slask
[KHI],Khimki Moscow Region
[ASV],LDLC ASVEL Villeurbanne
"[MAC,MTA]",Maccabi Tel Aviv
[NEP],Neptunas Klaipeda
[OLY],Olympiacos Piraeus
[PAO],Panathinaikos Athens
[PAR],Partizan  Belgrade
"[RMD,RMB]",Real Madrid
[ULK],Ulker
[UNI],Unicaja Malaga
[UOL],Union Olimpija Ljubljana
[VIR],Virtus Bologna
[ZAL],Zalgiris Kaunas
[ZEN],Zenit St Petersburg
